window_id,start_utc,source,step,bx,by,bz,bt,density,speed,temperature
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,28,2.953061,4.167446,-1.423946,4.908348,1.217819,3.339271,1.077908
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,29,3.253533,4.058498,-1.397648,4.969382,1.585466,3.502717,1.291895
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,30,3.489619,3.694454,-1.739518,4.846273,1.52392,3.503695,1.139636
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,31,3.029712,3.683825,-1.555434,4.468901,1.53983,3.571648,1.464714
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,32,2.214146,4.239192,-0.5035271,4.436099,1.518195,3.570684,1.459541
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,33,2.867212,4.446458,-1.193841,5.122403,0.7944776,3.510049,1.144022
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,34,2.66792,4.449116,-1.647476,5.126207,0.8019414,3.526624,1.264254
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,35,3.17075,4.130244,-1.460105,5.009161,0.8093677,3.54653,1.392868
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,36,2.594335,3.776829,-2.755265,4.776479,0.9319319,3.515906,1.471039
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,37,2.808958,4.31891,-1.37135,4.982913,0.9353375,3.516394,1.451254
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,38,3.189147,3.885777,-2.423257,5.08246,0.9130602,3.544107,1.003905
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,39,2.514618,3.415442,-0.1978166,3.613931,1.517048,3.46143,1.313524
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,40,1.01839,3.667881,1.708765,3.563024,1.725499,3.453522,1.474552
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,41,2.278532,3.715712,-0.8453968,3.890583,1.955019,3.493902,1.730729
